TIMESLOT,Actual,Predicted
2018-12-11 19:00:00,3261.11,3338.8860115250195
2018-12-11 20:00:00,2982.88,3081.3379868262637
2018-12-11 21:00:00,2680.78,2741.4639764164444
2018-12-11 22:00:00,2438.68,2509.4144129715596
2018-12-11 23:00:00,2118.99,2241.128447277037
2018-12-12 00:00:00,1816.26,1829.3877233705025
2018-12-12 01:00:00,1630.73,1652.2412806466098
2018-12-12 02:00:00,1509.15,1590.1254815056143
2018-12-12 03:00:00,1483.86,1530.9215471531302
2018-12-12 04:00:00,1487.99,1539.6745776901887
2018-12-12 05:00:00,1661.79,1679.0637203454569
2018-12-12 06:00:00,2341.51,2372.60089614291
2018-12-12 07:00:00,3147.88,3028.822340947567
2018-12-12 08:00:00,3218.39,3379.638678436299
2018-12-12 09:00:00,3373.58,3379.3918264831705
2018-12-12 10:00:00,3606.85,3574.015328667214
2018-12-12 11:00:00,3555.64,3568.333796244851
2018-12-12 12:00:00,3355.46,3425.396810539105
2018-12-12 13:00:00,3101.04,3105.583707555733
2018-12-12 14:00:00,2928.01,2954.490167345697
2018-12-12 15:00:00,2942.04,2935.9284967871677
2018-12-12 16:00:00,2845.28,2922.959320214197
2018-12-12 17:00:00,2970.79,3002.1938020422213
2018-12-12 18:00:00,3265.63,3225.785419456059
2018-12-12 19:00:00,3199.48,3277.529103955175
2018-12-12 20:00:00,3097.81,2983.348194603738
2018-12-12 21:00:00,2676.94,2722.540674120282
2018-12-12 22:00:00,2412.19,2435.707616135574
2018-12-12 23:00:00,2139.75,2188.1357317899055
2018-12-13 00:00:00,1831.82,1826.4536066663272
2018-12-13 01:00:00,1657.05,1652.3446748448052
2018-12-13 02:00:00,1549.66,1619.3319864846278
2018-12-13 03:00:00,1489.08,1556.088093217349
2018-12-13 04:00:00,1502.49,1536.7404609860134
2018-12-13 05:00:00,1661.68,1676.377905579838
2018-12-13 06:00:00,2310.84,2360.947597006363
2018-12-13 07:00:00,3053.31,3059.0427948209003
2018-12-13 08:00:00,3314.94,3336.5490762681975
2018-12-13 09:00:00,3349.88,3490.304613578063
2018-12-13 10:00:00,3607.25,3568.3639972475235
2018-12-13 11:00:00,3555.0,3562.6824648251604
2018-12-13 12:00:00,3358.2,3437.1450823668624
2018-12-13 13:00:00,3053.48,3146.257194097537
2018-12-13 14:00:00,2945.09,2914.381944788302
2018-12-13 15:00:00,2916.57,2926.4884940006095
2018-12-13 16:00:00,2889.4,2880.802891290298
2018-12-13 17:00:00,3019.74,2996.542470622531
2018-12-13 18:00:00,3312.82,3228.971781247148
2018-12-13 19:00:00,3288.24,3331.384250025222
2018-12-13 20:00:00,3117.83,3086.6782575325233
2018-12-13 21:00:00,2684.22,2730.7551283031808
2018-12-13 22:00:00,2472.62,2430.0562847158835
2018-12-13 23:00:00,2152.38,2182.484400370215
2018-12-14 00:00:00,1833.26,1826.4536066663272
2018-12-14 01:00:00,1662.39,1671.1582793788673
2018-12-14 02:00:00,1550.17,1619.3319864846278
2018-12-14 03:00:00,1488.49,1554.0107159439542
2018-12-14 04:00:00,1495.18,1536.7404609860134
2018-12-14 05:00:00,1680.43,1666.9016052630707
2018-12-14 06:00:00,2371.21,2325.546197661877
2018-12-14 07:00:00,3184.17,3022.6600574681393
2018-12-14 08:00:00,3455.59,3384.510663131304
2018-12-14 09:00:00,3503.68,3507.3536131041938
2018-12-14 10:00:00,3707.56,3657.8348283133214
2018-12-14 11:00:00,3637.27,3591.856690711251
2018-12-14 12:00:00,3526.28,3430.232869501756
2018-12-14 13:00:00,3155.63,3261.58253621545
2018-12-14 14:00:00,2906.17,2960.069146986654
2018-12-14 15:00:00,2892.68,2921.0491669892663
2018-12-14 16:00:00,2829.42,2884.586975640878
2018-12-14 17:00:00,2919.72,2946.9240832190058
2018-12-14 18:00:00,3345.52,3170.7934261994637
2018-12-14 19:00:00,3297.21,3343.140195313315
2018-12-14 20:00:00,3079.17,3111.152702926767
2018-12-14 21:00:00,2725.9,2750.707645393856
2018-12-14 22:00:00,2520.44,2531.095983374682
2018-12-14 23:00:00,2174.93,2230.4981336042533
2018-12-15 00:00:00,1841.17,1848.0303382171658
2018-12-15 01:00:00,1661.17,1642.785015471157
2018-12-15 02:00:00,1545.2,1593.9962334792883
2018-12-15 03:00:00,1484.86,1528.6204385264834
2018-12-15 04:00:00,1502.14,1501.788651499026
2018-12-15 05:00:00,1672.32,1617.9039160541536
2018-12-15 06:00:00,2206.67,2267.683774399234
2018-12-15 07:00:00,2925.85,2892.1621297025454
2018-12-15 08:00:00,3298.11,3299.9040009000482
2018-12-15 09:00:00,3385.83,3434.933424924069
2018-12-15 10:00:00,3636.5,3550.6522791354078
2018-12-15 11:00:00,3544.71,3589.0532503014565
2018-12-15 12:00:00,3353.53,3434.4437991116065
2018-12-15 13:00:00,3018.71,3077.5464910210894
2018-12-15 14:00:00,2856.84,2823.5269877425367
2018-12-15 15:00:00,2794.47,2822.7068029256106
2018-12-15 16:00:00,2753.02,2746.3518009831637
2018-12-15 17:00:00,2741.1,2871.043807974476
2018-12-15 18:00:00,3111.62,3022.7120237698964
2018-12-15 19:00:00,3051.27,3162.582548945804
2018-12-15 20:00:00,2869.84,2926.4071205549253
2018-12-15 21:00:00,2601.48,2661.8276644622965
2018-12-15 22:00:00,2358.48,2462.7223504554745
2018-12-15 23:00:00,2025.97,2174.691584467169
2018-12-16 00:00:00,1728.54,1768.5758573793978
2018-12-16 01:00:00,1539.65,1606.294594208998
2018-12-16 02:00:00,1435.21,1517.808155627998
2018-12-16 03:00:00,1385.15,1482.618560208785
2018-12-16 04:00:00,1388.12,1487.4297779308658
2018-12-16 05:00:00,1494.55,1607.8532743224148
2018-12-16 06:00:00,1862.44,2134.04657095954
2018-12-16 07:00:00,2301.35,2627.2978889192946
2018-12-16 08:00:00,2919.07,2962.330956205512
2018-12-16 09:00:00,3191.97,3263.7509909996493
2018-12-16 10:00:00,3659.84,3438.1126805832682
2018-12-16 11:00:00,3696.31,3611.3513090587103
2018-12-16 12:00:00,3557.06,3452.739095270212
2018-12-16 13:00:00,3187.28,3206.8691619364818
2018-12-16 14:00:00,2885.96,2865.1157650117398
2018-12-16 15:00:00,2669.02,2776.984930132274
